query_id,corpus_id
q00020,CPNG20230991
q00020,CPNG20230245
q00020,CPNG20230321
q00020,CPNG20230566
q00020,CPNG20230319
q00021,CPNG20230644
q00021,CPNG20231323
q00021,CPNG20230696
q00021,CPNG20231384
q00021,CPNG20230712
q00021,CPNG20231385
q00021,CPNG20231427
q00021,CPNG20230014
q00021,CPNG20231407
q00021,CPNG20231027
q00022,CPNG20230589
q00022,CPNG20231343
q00022,CPNG20230680
q00022,CPNG20230689
q00022,CPNG20230987
q00022,CPNG20231590
q00022,CPNG20231081
q00022,CPNG20230661
q00022,CPNG20231334
q00022,CPNG20231589
q00023,CPNG20231041
q00023,CPNG20230509
q00023,CPNG20230458
q00023,CPNG20230481
q00023,CPNG20230482
q00023,CPNG20230511
q00023,CPNG20230478
q00023,CPNG20230480
q00023,CPNG20230460
q00023,CPNG20231418
q00024,LIN20230332
q00024,LIN20230234
q00024,LIN20230324
q00024,LIN20230326
q00024,LIN20230393
q00024,LIN20232032
q00024,LIN20230650
q00024,LIN20230006
q00024,LIN20230292
q00024,LIN20230545
q00025,LIN20230370
q00025,LIN20232009
q00025,LIN20230218
q00025,LIN20230393
q00025,LIN20232032
q00025,LIN20230432
q00025,LIN20230371
q00025,LIN20232071
q00025,LIN20232011
q00025,LIN20230410
q00026,LIN20231717
q00026,LIN20231723
q00026,LIN20232169
q00026,LIN20231724
q00026,LIN20231719
q00026,LIN20231718
q00026,LIN20231364
q00026,LIN20231048
q00026,LIN20230324
q00026,LIN20230326
q00027,LIN20231143
q00027,LIN20231083
q00027,LIN20230601
q00027,LIN20230593
q00027,LIN20231910
q00027,LIN20230110
q00027,LIN20231677
q00027,LIN20231142
q00027,LIN20230066
q00027,LIN20230080
q00028,LIN20231195
q00028,LIN20230558
q00028,LIN20230553
q00028,LIN20232004
q00028,LIN20230161
q00028,LIN20230432
q00028,LIN20232128
q00028,LIN20230545
q00028,LIN20231717
q00028,LIN20230410
q00029,LIN20231719
q00029,LIN20231718
q00029,LIN20231717
q00029,LIN20232004
q00029,LIN20231723
q00029,LIN20230326
q00029,LIN20231724
q00029,LIN20230324
q00029,LIN20232169
q00029,LIN20230736
q00030,LIN20230082
q00030,LIN20230130
q00030,LIN20230131
q00030,LIN20230090
q00030,LIN20230071
q00030,LIN20230095
q00030,LIN20230070
q00030,LIN20230152
q00030,LIN20230068
q00030,LIN20230094
q00031,LIN20230432
q00031,LIN20230218
q00031,LIN20230410
q00031,LIN20232009
q00031,LIN20230370
q00031,LIN20230225
q00031,LIN20230452
q00031,LIN20230025
q00031,LIN20230227
q00031,LIN20232083
q00032,LIN20230332
q00032,LIN20230712
q00032,LIN20230716
q00032,LIN20230650
q00032,LIN20230690
q00032,LIN20231142
q00032,LIN20231083
q00032,LIN20230324
q00032,LIN20230727
q00032,LIN20231067
q00033,LIN20231613
q00033,LIN20231614
q00033,LIN20231615
q00033,LIN20230234
q00033,LIN20230332
q00033,LIN20231364
q00033,LIN20230006
q00033,LIN20231477
q00033,LIN20230324
q00033,LIN20232131
q00034,LIN20230324
q00034,LIN20230558
q00034,LIN20230332
q00034,LIN20230545
q00034,LIN20231004
q00034,LIN20232004
q00034,LIN20230562
q00034,LIN20231067
q00034,LIN20232169
q00034,LIN20230078
q00035,ORCL20231611
q00035,ORCL20231524
q00035,ORCL20231035
q00035,ORCL20230403
q00035,ORCL20230756
q00035,ORCL20231550
q00035,V20230379
q00035,ADBE20231568
q00035,V20230586
q00035,NFLX20231063
q00036,ORCL20230709
q00036,ORCL20230011
q00036,ORCL20230416
q00036,ORCL20230462
q00036,ORCL20230422
q00036,ORCL20231890
q00036,ORCL20231611
q00036,ORCL20230220
q00036,ORCL20231035
q00036,ORCL20231091
q00037,ORCL20230456
q00037,ORCL20231242
q00037,ORCL20230458
q00037,ORCL20230256
q00037,ORCL20231216
q00037,ORCL20230534
q00037,ORCL20231239
q00037,ORCL20231083
q00037,ORCL20230685
q00037,ORCL20231401
q00038,ORCL20231128
q00038,ORCL20231136
q00038,ORCL20231091
q00038,ORCL20231521
q00038,ORCL20230861
q00038,ORCL20230882
q00038,ORCL20230449
q00038,ORCL20231865
q00038,MSFT20230713
q00038,ORCL20230276
q00039,ORCL20230709
q00039,ORCL20230739
q00039,GOOGL20230665
q00039,ORCL20230738
q00039,ORCL20230741
q00039,ORCL20231226
q00039,META20230892
q00039,V20230572
q00039,DAL20230536
q00039,ORCL20230734
q00040,ORCL20230615
q00040,ORCL20231110
q00040,ORCL20230225
q00040,ORCL20230449
q00040,ORCL20230638
q00040,ORCL20230024
q00040,ORCL20230561
q00040,ORCL20230173
q00040,ORCL20230439
q00040,ORCL20231091
q00041,ORCL20231759
q00041,ORCL20230487
q00041,ORCL20231714
q00041,ORCL20230485
q00041,ORCL20230430
q00041,ORCL20231713
q00041,ORCL20231471
q00041,ORCL20230516
q00041,ORCL20230751
q00041,ORCL20230616
q00042,ORCL20231458
q00042,ORCL20231890
q00042,ORCL20231035
q00042,ORCL20231446
q00042,ORCL20230136
q00042,ORCL20230941
q00042,ORCL20231900
q00042,ORCL20231470
q00042,ORCL20230024
q00042,ORCL20231865
q00043,ORCL20230422
q00043,ORCL20231035
q00043,ORCL20231890
q00043,ORCL20230941
q00043,ORCL20231878
q00043,ORCL20231900
q00043,ORCL20231865
q00043,ORCL20230709
q00043,ORCL20231226
q00043,ORCL20231614
q00044,ORCL20230215
q00044,ORCL20230217
q00044,ORCL20230281
q00044,ORCL20230212
q00044,ORCL20230516
q00044,ORCL20230589
q00044,ORCL20230013
q00044,ORCL20230220
q00044,ORCL20230978
q00044,ORCL20230228
q00045,NVDA20230472
q00045,NVDA20230395
q00045,NVDA20231674
q00045,NVDA20230009
q00045,NVDA20231006
q00045,NVDA20230217
q00045,NVDA20230229
q00045,NVDA20230192
q00045,NVDA20230023
q00045,NVDA20230029
q00046,NVDA20230413
q00046,NVDA20231117
q00046,NVDA20231495
q00046,ORCL20230414
q00046,NVDA20231491
q00046,NVDA20230781
q00046,NVDA20230561
q00046,NVDA20230517
q00046,NVDA20231545
q00046,NVDA20231560
q00047,NVDA20230542
q00047,NVDA20230543
q00047,NVDA20231571
q00047,NVDA20230540
q00047,NVDA20231570
q00047,NVDA20230525
q00047,NVDA20230303
q00047,NVDA20231260
q00047,NVDA20231545
q00047,NVDA20230534
q00048,NVDA20230369
q00048,NVDA20230265
q00048,NVDA20230329
q00048,NVDA20230322
q00048,NVDA20230195
q00048,NVDA20230336
q00048,NVDA20230304
q00048,NVDA20230249
q00048,NVDA20230367
q00048,NVDA20230309
q00049,NVDA20230548
q00049,NVDA20230464
q00049,NVDA20230535
q00049,NVDA20230549
q00049,NVDA20230547
q00049,PG20230301
q00049,NVDA20230534
q00049,NVDA20230537
q00049,NVDA20230598
q00049,NVDA20231570
q00050,PG20230010
q00050,PG20230225
q00050,PG20230239
q00050,PG20230756
q00050,PG20230240
q00050,PG20230156
q00050,PG20230064
q00050,PG20230241
q00050,PG20230237
q00050,PG20230203
q00051,PG20230839
q00051,PG20230827
q00051,PG20230826
q00051,PG20230012
q00051,PG20230221
q00051,PG20230066
q00051,PG20230327
q00051,PG20230772
q00051,PG20231215
q00051,PG20230838
q00052,PG20230024
q00052,PG20230519
q00052,PG20230826
q00052,PG20230267
q00052,PG20230171
q00052,PG20230107
q00052,PG20230921
q00052,PG20230863
q00052,PG20231056
q00052,PG20231033
q00053,PG20230053
q00053,PG20230052
q00053,PG20230277
q00053,PG20230054
q00053,PG20230278
q00053,PG20230279
q00053,JNJ20230620
q00053,JPM20233965
q00053,PG20230280
q00053,PG20230055
q00054,PG20230087
q00054,PG20230092
q00054,PG20230091
q00054,PG20230093
q00054,PG20230073
q00054,PG20230088
q00054,CPNG20230494
q00054,CPNG20230394
q00054,PG20230054
q00054,PG20230089
q00055,PG20230837
q00055,PG20230142
q00055,PG20231215
q00055,PG20230145
q00055,PG20231556
q00055,PG20230151
q00055,PG20230171
q00055,PG20230225
q00055,PG20230828
q00055,PG20230223
q00056,PG20230165
q00056,PG20230435
q00056,PG20231112
q00056,JNJ20231469
q00056,V20231498
q00056,PG20231556
q00056,PG20231497
q00056,PG20230162
q00056,JNJ20230524
q00056,JNJ20230244
q00057,PG20230171
q00057,PG20230181
q00057,PG20230433
q00057,JNJ20230545
q00057,PG20231392
q00057,PG20231056
q00057,PG20230371
q00057,PG20230222
q00057,PG20231111
q00057,PG20230003
q00058,PG20230171
q00058,PG20230181
q00058,PG20230371
q00058,PG20231056
q00058,PG20230352
q00058,PG20230433
q00058,PG20230311
q00058,PG20230327
q00058,PG20230351
q00058,PG20230267
q00059,PG20230174
q00059,PG20230156
q00059,PG20231215
q00059,PG20231223
q00059,PG20230171
q00059,PG20230181
q00059,PG20230863
q00059,PG20230221
q00059,PG20231101
q00059,PG20230585
q00060,PG20230225
q00060,PG20230206
q00060,PG20230197
q00060,PG20230237
q00060,PG20230004
q00060,PG20230585
q00060,PG20230553
q00060,PG20230404
q00060,PG20230912
q00060,PG20230003
q00061,PG20230240
q00061,PG20230208
q00061,PG20230805
q00061,PG20230221
q00061,PG20230826
q00061,PG20230756
q00061,PG20230203
q00061,PG20230241
q00061,PG20230225
q00061,PG20230223
q00062,PG20230221
q00062,PG20230230
q00062,PG20230229
q00062,PG20230228
q00062,PG20230805
q00062,PG20230826
q00062,PG20230392
q00062,PG20230227
q00062,PG20230226
q00062,PG20231150
q00063,PG20230241
q00063,PG20230239
q00063,PG20230225
q00063,PG20230240
q00063,PG20230246
q00063,PG20230197
q00063,PG20230033
q00063,PG20230511
q00063,PG20230187
q00063,PG20230578
q00064,PG20230371
q00064,PG20230352
q00064,PG20230393
q00064,PG20230267
q00064,PG20230325
q00064,PG20230360
q00064,PG20230399
q00064,PG20230327
q00064,PG20230381
q00064,PG20230311
q00065,PG20230527
q00065,PG20230200
q00065,PG20230269
q00065,PG20230521
q00065,PG20230422
q00065,PG20230268
q00065,PG20230531
q00065,PG20230421
q00065,PG20230198
q00065,PG20230525
q00066,PG20230301
q00066,PG20230371
q00066,PG20230393
q00066,PG20230284
q00066,PG20230381
q00066,PG20230311
q00066,PG20230273
q00066,PG20230307
q00066,PG20230062
q00066,PG20230286
q00067,PG20231234
q00067,PG20231075
q00067,PG20230836
q00067,PG20230911
q00067,PG20230921
q00067,PG20231099
q00067,PG20231222
q00067,PG20230981
q00067,PG20230993
q00067,PG20230991
q00068,PG20230939
q00068,JNJ20231848
q00068,PG20230940
q00068,PG20230277
q00068,PG20230267
q00068,PG20230828
q00068,PG20230430
q00068,PG20230223
q00068,PG20230425
q00068,ORCL20231242
q00069,PG20231392
q00069,PG20230425
q00069,PG20230911
q00069,PG20230555
q00069,PG20230836
q00069,PG20231056
q00069,PG20231033
q00069,PG20230403
q00069,PG20231009
q00069,PG20230760
q00070,PG20231450
q00070,PG20230911
q00070,PG20230403
q00070,PG20231099
q00070,PG20231309
q00070,PG20231056
q00070,PG20231032
q00070,PG20230836
q00070,PG20231033
q00070,PG20230425
q00071,PG20230440
q00071,PG20230047
q00071,PG20231153
q00071,PG20230048
q00071,JPM20233452
q00071,PG20231392
q00071,PG20231215
q00071,PG20230493
q00071,PG20230171
q00071,JPM20233021
q00072,PG20230519
q00072,PG20230351
q00072,PG20230826
q00072,PG20230267
q00072,PG20230201
q00072,PG20230338
q00072,PG20230370
q00072,PG20230347
q00072,PG20230359
q00072,PG20230863
q00073,PG20230508
q00073,PG20230511
q00073,PG20230171
q00073,PG20231112
q00073,PG20230181
q00073,PG20231253
q00073,PG20230197
q00073,PG20230527
q00073,PG20230201
q00073,PG20230198
q00074,DAL20230020
q00074,DAL20230364
q00074,DAL20230363
q00074,DAL20230353
q00074,DAL20231361
q00074,DAL20231360
q00074,DAL20230128
q00074,DAL20231090
q00074,DAL20231611
q00074,DAL20230362
q00075,DAL20231403
q00075,DAL20231090
q00075,DAL20230353
q00075,DAL20231354
q00075,DAL20230602
q00075,DAL20231360
q00075,DAL20231391
q00075,DAL20230363
q00075,DAL20231415
q00075,DAL20230627
q00076,DAL20230365
q00076,DAL20231877
q00076,DAL20231880
q00076,DAL20231361
q00076,DAL20230416
q00076,DAL20231900
q00076,DAL20231901
q00076,DAL20230064
q00076,DAL20231903
q00076,DAL20231254
q00077,DAL20231612
q00077,DAL20230380
q00077,DAL20231611
q00077,DAL20230020
q00077,DAL20230378
q00077,DAL20230353
q00077,DAL20231927
q00077,DAL20231928
q00077,DAL20231921
q00077,DAL20231924
q00078,DAL20230466
q00078,DAL20230462
q00078,DAL20230467
q00078,DAL20230469
q00078,DAL20230459
q00078,DAL20230468
q00078,DAL20230521
q00078,DAL20231183
q00078,DAL20230025
q00078,DAL20230522
q00079,DAL20230479
q00079,DAL20230040
q00079,DAL20230233
q00079,DAL20230619
q00079,DAL20230053
q00079,DAL20231253
q00079,DAL20231632
q00079,DAL20231962
q00079,DAL20230043
q00079,DAL20230611
q00080,DAL20230424
q00080,DAL20230515
q00080,DAL20231816
q00080,DAL20230427
q00080,DAL20230590
q00080,DAL20230426
q00080,DAL20230581
q00080,DAL20230521
q00080,DAL20230446
q00080,DAL20230425
q00081,DAL20230223
q00081,DAL20230593
q00081,DAL20230513
q00081,DAL20230710
q00081,DAL20230301
q00081,DAL20230776
q00081,DAL20230424
q00081,DAL20230837
q00081,BRK.A20230737
q00081,DAL20230558
q00082,DAL20230608
q00082,DAL20230427
q00082,DAL20230590
q00082,DAL20230426
q00082,DAL20230477
q00082,DAL20230423
q00082,DAL20231166
q00082,DAL20230422
q00082,DAL20230428
q00082,DAL20230609
q00083,DAL20230609
q00083,DAL20230615
q00083,DAL20231317
q00083,DAL20230590
q00083,DAL20230626
q00083,DAL20231318
q00083,DAL20230755
q00083,DAL20230543
q00083,DAL20230678
q00083,DAL20231568
q00084,DAL20230615
q00084,DAL20231451
q00084,DAL20230610
q00084,DAL20231446
q00084,DAL20230609
q00084,DAL20231435
q00084,DAL20231326
q00084,DAL20230617
q00084,DAL20230604
q00084,DAL20231450
q00085,DAL20230403
q00085,DAL20230628
q00085,DAL20230629
q00085,DAL20231962
q00085,DAL20231894
q00085,DAL20230405
q00085,DAL20231730
q00085,DAL20230626
q00085,DAL20231317
q00085,DAL20230029
q00086,DAL20231155
q00086,DAL20230640
q00086,DAL20231013
q00086,TSLA20230828
q00086,DAL20230648
q00086,DAL20231156
q00086,DAL20230858
q00086,ADBE20231118
q00086,DAL20230641
q00086,CPNG20231081
q00087,DAL20231091
q00087,DAL20231088
q00087,DAL20231090
q00087,DAL20231094
q00087,DAL20231070
q00087,DAL20230662
q00087,DAL20231360
q00087,DAL20231263
q00087,DAL20230353
q00087,DAL20231095
q00088,DAL20231109
q00088,DAL20231879
q00088,DAL20230646
q00088,DAL20231143
q00088,DAL20231111
q00088,DAL20231962
q00088,DAL20231404
q00088,DAL20231736
q00088,DAL20230601
q00088,HD20230798
q00089,TSLA20230362
q00089,TSLA20230433
q00089,TSLA20230364
q00089,TSLA20230437
q00089,TSLA20230363
q00089,TSLA20230470
q00089,TSLA20230471
q00089,TSLA20230367
q00089,TSLA20230011
q00089,TSLA20230436
q00090,TSLA20230362
q00090,TSLA20231543
q00090,TSLA20230435
q00090,TSLA20230471
q00090,TSLA20230433
q00090,TSLA20230437
q00090,TSLA20230827
q00090,AAPL20230333
q00090,TSLA20231475
q00090,TSLA20231468
q00091,TSLA20230367
q00091,TSLA20230364
q00091,TSLA20230469
q00091,TSLA20230437
q00091,TSLA20231306
q00091,TSLA20230365
q00091,TSLA20230496
q00091,TSLA20230514
q00091,TSLA20230490
q00091,TSLA20230471
q00092,TSLA20231172
q00092,TSLA20230527
q00092,TSLA20231306
q00092,TSLA20230391
q00092,TSLA20231070
q00092,TSLA20230367
q00092,TSLA20230365
q00092,TSLA20230364
q00092,TSLA20231167
q00092,TSLA20231012
q00093,TSLA20230082
q00093,TSLA20230081
q00093,TSLA20230332
q00093,TSLA20230380
q00093,TSLA20230011
q00093,TSLA20230169
q00093,TSLA20230271
q00093,TSLA20230223
q00093,TSLA20230381
q00093,TSLA20230389
q00094,TSLA20231538
q00094,TSLA20231078
q00094,TSLA20230362
q00094,TSLA20230367
q00094,TSLA20230364
q00094,TSLA20230363
q00094,TSLA20230490
q00094,TSLA20230471
q00094,TSLA20230437
q00094,TSLA20230470
q00095,TSLA20231453
q00095,TSLA20231470
q00095,TSLA20231458
q00095,TSLA20231451
q00095,TSLA20231459
q00095,TSLA20231469
q00095,TSLA20231466
q00095,TSLA20231460
q00095,TSLA20231463
q00095,TSLA20231457
q00096,TSLA20231108
q00096,TSLA20231093
q00096,TSLA20230492
q00096,TSLA20230991
q00096,TSLA20230965
q00096,TSLA20231023
q00096,TSLA20230490
q00096,TSLA20230469
q00096,TSLA20230957
q00096,TSLA20230365
q00097,TSLA20231296
q00097,MSFT20231607
q00097,TSLA20231505
q00097,TSLA20230729
q00097,TSLA20230680
q00097,TSLA20230297
q00097,TSLA20231341
q00097,TSLA20230345
q00097,TSLA20230343
q00097,TSLA20231477
q00098,TSLA20230005
q00098,TSLA20230361
q00098,TSLA20230139
q00098,TSLA20230004
q00098,TSLA20230568
q00098,TSLA20230358
q00098,TSLA20230141
q00098,TSLA20230841
q00098,TSLA20230431
q00098,TSLA20230042
q00099,NFLX20230772
q00099,NFLX20230311
q00099,NFLX20230289
q00099,NFLX20230041
q00099,NFLX20230749
q00099,NFLX20230310
q00099,NFLX20230257
q00099,NFLX20230279
q00099,NFLX20230268
q00099,NFLX20230037
q00100,NFLX20230258
q00100,NFLX20230061
q00100,NFLX20230030
q00100,NFLX20230059
q00100,NFLX20230103
q00100,NFLX20230482
q00100,NFLX20230464
q00100,NFLX20230019
q00100,NFLX20230692
q00100,NFLX20230509
q00101,NFLX20230710
q00101,NFLX20230006
q00101,NFLX20230692
q00101,NFLX20230424
q00101,NFLX20230509
q00101,NFLX20230539
q00101,NFLX20230521
q00101,NFLX20230462
q00101,NFLX20230059
q00101,NFLX20230624
q00102,NFLX20230389
q00102,NFLX20230989
q00102,NFLX20230990
q00102,NFLX20230390
q00102,NFLX20230137
q00102,NFLX20231001
q00102,GOOGL20230708
q00102,NFLX20230128
q00102,NFLX20231000
q00102,GOOGL20231540
q00103,NFLX20230390
q00103,NFLX20231000
q00103,NFLX20231001
q00103,NFLX20230387
q00103,NFLX20230137
q00103,NFLX20230128
q00103,NFLX20230061
q00103,GOOGL20231540
q00103,NFLX20230708
q00103,NFLX20230123
q00104,NFLX20230329
q00104,NFLX20230328
q00104,NFLX20230723
q00104,NFLX20230345
q00104,NFLX20230231
q00104,NFLX20230087
q00104,NFLX20230320
q00104,NFLX20230337
q00104,NFLX20230239
q00104,NFLX20230659
q00105,NFLX20230268
q00105,NFLX20230267
q00105,NFLX20230749
q00105,NFLX20230257
q00105,NFLX20230269
q00105,NFLX20230721
q00105,NFLX20231178
q00105,NFLX20230289
q00105,NFLX20230523
q00105,NFLX20230279
q00106,NFLX20230259
q00106,NFLX20230007
q00106,PG20230301
q00106,NFLX20230409
q00106,NFLX20230975
q00106,MSFT20230577
q00106,ORCL20230522
q00106,NFLX20230913
q00106,PG20230313
q00106,NFLX20230257
q00107,NFLX20230289
q00107,NFLX20230749
q00107,NFLX20230311
q00107,NFLX20230772
q00107,NFLX20230310
q00107,NFLX20230757
q00107,NFLX20230037
q00107,NFLX20230299
q00107,NFLX20230268
q00107,NFLX20230015
q00108,NFLX20231063
q00108,NFLX20230380
q00108,NFLX20230232
q00108,NFLX20230231
q00108,NFLX20230192
q00108,NFLX20230234
q00108,NFLX20230940
q00108,NFLX20230203
q00108,JNJ20231469
q00108,NFLX20230411
q00109,HD20230004
q00109,HD20230024
q00109,HD20230719
q00109,HD20230025
q00109,HD20230133
q00109,HD20230076
q00109,HD20230077
q00109,HD20230027
q00109,HD20230595
q00109,HD20230622
q00110,HD20230004
q00110,HD20230005
q00110,HD20230637
q00110,HD20230715
q00110,HD20230595
q00110,HD20230622
q00110,HD20230671
q00110,HD20230552
q00110,HD20231485
q00110,HD20230088
q00111,HD20230011
q00111,HD20230163
q00111,HD20230037
q00111,HD20230004
q00111,HD20230072
q00111,HD20230149
q00111,HD20230077
q00111,HD20230058
q00111,HD20230164
q00111,HD20230719
q00112,HD20230967
q00112,HD20231308
q00112,HD20230475
q00112,LIN20231106
q00112,LIN20230559
q00112,HD20230983
q00112,ORCL20231242
q00112,HD20231312
q00112,JNJ20231848
q00112,HD20230348
q00113,HD20230021
q00113,HD20230339
q00113,HD20230354
q00113,HD20230018
q00113,HD20231190
q00113,HD20230529
q00113,HD20230430
q00113,HD20230367
q00113,HD20231485
q00113,HD20230454
q00114,HD20230471
q00114,HD20230475
q00114,HD20231365
q00114,HD20230011
q00114,HD20230368
q00114,HD20231303
q00114,HD20230061
q00114,HD20230018
q00114,HD20231053
q00114,HD20230149
q00115,HD20230410
q00115,HD20230415
q00115,HD20230414
q00115,HD20230058
q00115,HD20230037
q00115,HD20230367
q00115,HD20230011
q00115,HD20230856
q00115,HD20230417
q00115,HD20230471
q00116,HD20231224
q00116,HD20230037
q00116,HD20231464
q00116,HD20231485
q00116,HD20231331
q00116,HD20230736
q00116,HD20230093
q00116,HD20230529
q00116,HD20230062
q00116,HD20230154
q00117,HD20230798
q00117,META20231230
q00117,HD20230410
q00117,HD20230875
q00117,HD20230475
q00117,HD20230529
q00117,ADBE20231034
q00117,HD20230367
q00117,HD20230856
q00117,HD20230004
q00118,HD20230410
q00118,HD20230430
q00118,HD20230426
q00118,HD20230367
q00118,HD20230417
q00118,HD20231541
q00118,HD20230412
q00118,HD20230842
q00118,HD20230967
q00118,HD20230471
q00119,AAPL20230236
q00119,AAPL20230557
q00119,AAPL20230004
q00119,AAPL20230238
q00119,ADBE20230967
q00119,AAPL20230989
q00119,AAPL20230970
q00119,ORCL20231718
q00119,PG20231223
q00119,AAPL20230239
q00120,AAPL20230251
q00120,AAPL20230244
q00120,AAPL20230254
q00120,AAPL20230247
q00120,GOOGL20230793
q00120,GOOGL20230810
q00120,NVDA20230469
q00120,AAPL20231026
q00120,GOOGL20230811
q00120,GOOGL20230812
q00121,AAPL20230707
q00121,ADBE20231336
q00121,META20231502
q00121,HD20230424
q00121,MSFT20231296
q00121,V20231264
q00121,UNH20231008
q00121,JNJ20231008
q00121,BRK.A20231679
q00121,PG20231412
q00122,AAPL20230871
q00122,AAPL20230222
q00122,AAPL20230223
q00122,AAPL20230255
q00122,AAPL20230221
q00122,HD20230351
q00122,LIN20230189
q00122,HD20231192
q00122,V20231498
q00122,AAPL20230189
q00123,META20230705
q00123,ORCL20231769
q00123,GOOGL20231145
q00123,META20230006
q00123,META20230684
q00123,NFLX20230774
q00123,ORCL20231782
q00123,ORCL20230520
q00123,META20231191
q00123,NFLX20230310
q00124,AAPL20230244
q00124,AAPL20230254
q00124,AAPL20230251
q00124,LIN20230490
q00124,AAPL20230240
q00124,AAPL20230268
q00124,LIN20230451
q00124,AAPL20230247
q00124,ADBE20230029
q00124,HD20230062
q00125,HD20230423
q00125,LIN20230296
q00125,TSLA20230492
q00125,META20230841
q00125,LIN20230490
